Üniversite,Bölüm,İmam Hatip Sayısı,İmam Hatip Oranı,URL
"DÜZCE ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","67","% 58,8","https://yokatlas.yok.gov.tr/lisans.php?y=103310537"
"EGE ÜNİVERSİTESİ  (4 Yıllık)
(Birgivi İlahiyat Fakültesi)","İLAHİYAT","29","% 44,6","https://yokatlas.yok.gov.tr/lisans.php?y=103490575"
"ERCİYES ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","80","% 52,6","https://yokatlas.yok.gov.tr/lisans.php?y=103510271"
"ERCİYES ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103590569"
"ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","65","% 41,7","https://yokatlas.yok.gov.tr/lisans.php?y=103610207"
"ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","47","% 37,6","https://yokatlas.yok.gov.tr/lisans.php?y=103810444"
"FIRAT ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","57","% 39,9","https://yokatlas.yok.gov.tr/lisans.php?y=103910716"
"GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","6","% 16,7","https://yokatlas.yok.gov.tr/lisans.php?y=111210109"
"GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","43","% 45,3","https://yokatlas.yok.gov.tr/lisans.php?y=111210123"
"GAZİANTEP ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","36","% 31,3","https://yokatlas.yok.gov.tr/lisans.php?y=104210517"
"GİRESUN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","44","% 45,8","https://yokatlas.yok.gov.tr/lisans.php?y=104590484"
