Üniversite Adı,Üniversite Türü,Bölüm,İH 2023 Sayı,İH 2023 Oran,İH 2024 Sayı,İH 2024 Oran,İH 2025 Sayı,İH 2025 Oran,URL
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","ABAZA DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103390230"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%6,3","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=100890057"
"ARDAHAN ÜNİVERSİTESİ (ARDAHAN)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","1","% 3,1","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=101290082"
"ARTVİN ÇORUH ÜNİVERSİTESİ (ARTVİN)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","1","%2,4","1","% 3,1","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=101370270"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","11","%20,4","3","% 9,7","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=101490475"
"BAYBURT ÜNİVERSİTESİ (BAYBURT)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","7","%17,1","4","% 12,9","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=101890037"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","6","%7,2","3","% 9,4","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=107310446"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%6,3","1","% 3,1","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=102710387"
"ERZURUM TEKNİK ÜNİVERSİTESİ (ERZURUM)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","2","%4,8","5","% 15,6","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=103730146"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","3","% 9,4","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=104790017"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","3","% 9,7","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=104710336"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (HATAY)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%10,0","3","% 7,5","4","% 11,4","https://yokatlas.yok.gov.tr/lisans.php?y=107710442"
"MALATYA TURGUT ÖZAL ÜNİVERSİTESİ (MALATYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","1","%2,5","3","% 7,5","2","% 5,7","https://yokatlas.yok.gov.tr/lisans.php?y=111570357"
"MUNZUR ÜNİVERSİTESİ (TUNCELİ)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%9,3","2","% 6,5","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=109590048"
"SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (İSTANBUL)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","1","% 3,1","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=111091394"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%8,1","2","% 6,3","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=108990307"
"TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ (TEKİRDAĞ)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=107990171"
"TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ (TOKAT)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","6","%14,3","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=104390077"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","2","% 40,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300211622"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300290443"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","1","%2,4","3","% 9,7","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=107310473"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","7","%13,2","5","% 15,6","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=108911647"
"TRABZON ÜNİVERSİTESİ (TRABZON)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","4","%12,5","2","% 6,3","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=112190221"
"KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (KÜTAHYA)","Devlet","ADLİ BİLİMLER","4","%9,8","9","% 21,4","2","% 4,8","https://yokatlas.yok.gov.tr/lisans.php?y=111490229"
"KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (KÜTAHYA)","Devlet","ADLİ BİLİMLER","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=111490230"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","3","%23,1","3","% 27,3","1","% 7,7","https://yokatlas.yok.gov.tr/lisans.php?y=206511444"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","5","%7,4","3","% 4,8","5","% 7,8","https://yokatlas.yok.gov.tr/lisans.php?y=206511462"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=206511471"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ","9","%14,5","7","% 10,3","5","% 8,3","https://yokatlas.yok.gov.tr/lisans.php?y=103910743"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103990111"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ (M.T.O.K)","3","%18,8","2","% 9,1","1","% 5,0","https://yokatlas.yok.gov.tr/lisans.php?y=103910752"
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","1","%4,6","1","% 3,7","2","% 7,4","https://yokatlas.yok.gov.tr/lisans.php?y=103390168"
"GAZİ ÜNİVERSİTESİ (ANKARA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","2","%6,3","4","% 11,1","3","% 8,3","https://yokatlas.yok.gov.tr/lisans.php?y=104111719"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","1","%4,6","Bulunamadı","Bulunamadı","2","% 7,4","https://yokatlas.yok.gov.tr/lisans.php?y=107610391"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=107690389"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ (M.T.O.K)","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107690290"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","AİLE VE TÜKETİCİ BİLİMLERİ","4","%7,4","2","% 3,5","1","% 1,8","https://yokatlas.yok.gov.tr/lisans.php?y=104810398"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","AKTÜERYA BİLİMLERİ","2","%3,2","2","% 3,0","1","% 1,5","https://yokatlas.yok.gov.tr/lisans.php?y=101190340"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","AKTÜERYA BİLİMLERİ","1","%1,9","1","% 1,6","4","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=104810335"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","AKTÜERYA BİLİMLERİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=104810865"
"KARABÜK ÜNİVERSİTESİ (KARABÜK)","Devlet","AKTÜERYA BİLİMLERİ","2","%4,8","5","% 9,6","3","% 5,6","https://yokatlas.yok.gov.tr/lisans.php?y=106190105"
"KIRIKKALE ÜNİVERSİTESİ (KIRIKKALE)","Devlet","AKTÜERYA BİLİMLERİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106690363"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","AKTÜERYA BİLİMLERİ","2","%3,1","6","% 9,0","4","% 6,0","https://yokatlas.yok.gov.tr/lisans.php?y=107290457"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","AKTÜERYA BİLİMLERİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107290464"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","AKTÜERYA BİLİMLERİ","2","%6,5","5","% 11,9","4","% 9,8","https://yokatlas.yok.gov.tr/lisans.php?y=108990446"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA)","KKTC","AKTÜERYA BİLİMLERİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300190312"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA)","KKTC","AKTÜERYA BİLİMLERİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=300190314"
"DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA)","KKTC","AKTÜERYA BİLİMLERİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=300190664"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","ALMAN DİLİ VE EDEBİYATI","1","%1,6","1","% 1,6","2","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=100710675"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ALMAN DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","1","% 1,8","1","% 1,8","https://yokatlas.yok.gov.tr/lisans.php?y=101110015"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ALMAN DİLİ VE EDEBİYATI","5","%7,8","3","% 4,5","3","% 4,5","https://yokatlas.yok.gov.tr/lisans.php?y=101410039"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","ALMAN DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","1","% 1,5","1","% 1,5","https://yokatlas.yok.gov.tr/lisans.php?y=100310873"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","ALMAN DİLİ VE EDEBİYATI","1","%1,6","2","% 3,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103410033"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ALMAN DİLİ VE EDEBİYATI","3","%4,5","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103990357"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ALMAN DİLİ VE EDEBİYATI","2","%3,1","3","% 4,5","2","% 3,0","https://yokatlas.yok.gov.tr/lisans.php?y=104810035"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ALMAN DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=104890554"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMAN DİLİ VE EDEBİYATI","1","%1,6","1","% 1,6","2","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=105610061"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMAN DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 1,9","https://yokatlas.yok.gov.tr/lisans.php?y=107210235"
"SAKARYA ÜNİVERSİTESİ (SAKARYA)","Devlet","ALMAN DİLİ VE EDEBİYATI","5","%6,1","2","% 2,3","8","% 9,0","https://yokatlas.yok.gov.tr/lisans.php?y=108810102"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ALMAN DİLİ VE EDEBİYATI","Bulunamadı","Bulunamadı","3","% 4,7","4","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=108910216"
"SİVAS CUMHURİYET ÜNİVERSİTESİ (SİVAS)","Devlet","ALMAN DİLİ VE EDEBİYATI","6","%5,1","7","% 7,0","7","% 7,1","https://yokatlas.yok.gov.tr/lisans.php?y=102610097"
"TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ (TEKİRDAĞ)","Devlet","ALMAN DİLİ VE EDEBİYATI","1","%1,2","3","% 3,4","1","% 1,1","https://yokatlas.yok.gov.tr/lisans.php?y=107910316"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=100790637"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","Bulunamadı","Bulunamadı","2","% 3,0","2","% 3,0","https://yokatlas.yok.gov.tr/lisans.php?y=103490362"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","3","%4,7","4","% 6,0","4","% 6,0","https://yokatlas.yok.gov.tr/lisans.php?y=104890457"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","4","%6,3","5","% 8,1","6","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=105690657"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","3","%4,8","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106390178"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","1","%1,9","4","% 7,7","6","% 11,5","https://yokatlas.yok.gov.tr/lisans.php?y=107290339"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107290450"
"MERSİN ÜNİVERSİTESİ (MERSİN)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","1","%1,9","3","% 5,1","2","% 3,4","https://yokatlas.yok.gov.tr/lisans.php?y=107490302"
"SAKARYA ÜNİVERSİTESİ (SAKARYA)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","2","%3,1","5","% 7,2","2","% 2,9","https://yokatlas.yok.gov.tr/lisans.php?y=108890246"
"TRAKYA ÜNİVERSİTESİ (EDİRNE)","Devlet","ALMANCA MÜTERCİM VE TERCÜMANLIK","2","%3,1","2","% 3,0","1","% 1,5","https://yokatlas.yok.gov.tr/lisans.php?y=109490281"
"ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","ALMANCA ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","1","% 1,9","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101010088"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ALMANCA ÖĞRETMENLİĞİ","4","%5,6","1","% 1,9","3","% 5,8","https://yokatlas.yok.gov.tr/lisans.php?y=101410278"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=109790542"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","4","% 7,7","3","% 5,8","https://yokatlas.yok.gov.tr/lisans.php?y=109710012"
"ÇUKUROVA ÜNİVERSİTESİ (ADANA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,5","Bulunamadı","Bulunamadı","1","% 1,8","https://yokatlas.yok.gov.tr/lisans.php?y=102910022"
"DİCLE ÜNİVERSİTESİ (DİYARBAKIR)","Devlet","ALMANCA ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","5","% 7,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103010258"
"DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","Bulunamadı","Bulunamadı","1","% 2,1","https://yokatlas.yok.gov.tr/lisans.php?y=103110018"
"GAZİ ÜNİVERSİTESİ (ANKARA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","2","% 3,8","1","% 1,9","https://yokatlas.yok.gov.tr/lisans.php?y=104110193"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","1","% 1,9","3","% 5,8","https://yokatlas.yok.gov.tr/lisans.php?y=104810202"
"HAKKARİ ÜNİVERSİTESİ (HAKKARİ)","Devlet","ALMANCA ÖĞRETMENLİĞİ","2","%6,5","4","% 12,9","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=104910079"
"İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA (İSTANBUL)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","Bulunamadı","Bulunamadı","2","% 3,8","https://yokatlas.yok.gov.tr/lisans.php?y=111610397"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","2","% 3,8","2","% 3,8","https://yokatlas.yok.gov.tr/lisans.php?y=107210014"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107610019"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA)","Devlet","ALMANCA ÖĞRETMENLİĞİ","6","%11,5","7","% 13,5","3","% 5,8","https://yokatlas.yok.gov.tr/lisans.php?y=107010016"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (NEVŞEHİR)","Devlet","ALMANCA ÖĞRETMENLİĞİ","2","%4,9","2","% 4,3","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=108010419"
"ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)","Devlet","ALMANCA ÖĞRETMENLİĞİ","1","%1,9","5","% 9,6","1","% 1,9","https://yokatlas.yok.gov.tr/lisans.php?y=108210029"
"TRAKYA ÜNİVERSİTESİ (EDİRNE)","Devlet","ALMANCA ÖĞRETMENLİĞİ","3","%5,8","1","% 1,9","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=109410854"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","4","%6,4","Bulunamadı","Bulunamadı","2","% 3,0","https://yokatlas.yok.gov.tr/lisans.php?y=101110024"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","3","%7,3","2","% 4,3","2","% 4,3","https://yokatlas.yok.gov.tr/lisans.php?y=101490467"
"DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","1","%1,2","Bulunamadı","Bulunamadı","2","% 2,3","https://yokatlas.yok.gov.tr/lisans.php?y=103110203"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","2","%3,2","Bulunamadı","Bulunamadı","1","% 1,6","https://yokatlas.yok.gov.tr/lisans.php?y=103410042"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","3","% 4,5","2","% 3,0","https://yokatlas.yok.gov.tr/lisans.php?y=104810044"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","1","%1,2","5","% 5,7","7","% 8,0","https://yokatlas.yok.gov.tr/lisans.php?y=105610079"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200610199"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200610206"
"BAŞKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=200611294"
"HALİÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","1","% 10,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=201910024"
"HALİÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=201910015"
"HALİÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=201910509"
"İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","1","% 2,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202110683"
"İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 14,3","https://yokatlas.yok.gov.tr/lisans.php?y=202110902"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300290346"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","AMERİKAN KÜLTÜRÜ VE EDEBİYATI","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300290423"
"UŞAK ÜNİVERSİTESİ (UŞAK)","Devlet","ANTRENÖRLÜK EĞİTİMİ","4","%7,7","4","% 7,4","5","% 9,6","https://yokatlas.yok.gov.tr/lisans.php?y=109890110"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ANTROPOLOJİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101110033"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ANTROPOLOJİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101111419"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ANTROPOLOJİ","Bulunamadı","Bulunamadı","1","% 4,5","1","% 4,5","https://yokatlas.yok.gov.tr/lisans.php?y=107310182"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","ANTROPOLOJİ","2","%3,7","1","% 1,8","1","% 2,1","https://yokatlas.yok.gov.tr/lisans.php?y=104890265"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (HATAY)","Devlet","ANTROPOLOJİ","1","%3,7","Bulunamadı","Bulunamadı","1","% 3,3","https://yokatlas.yok.gov.tr/lisans.php?y=107710478"
"HİTİT ÜNİVERSİTESİ (ÇORUM)","Devlet","ANTROPOLOJİ","2","%9,1","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105190173"
